region_id,region_type,region
28065,city,Yuma; AZ; Yuma County
31567,city,Flagstaff; AZ; Coconino County
41130,city,Sun City; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
18298,city,Glendale; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
19331,city,Mesa; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
54346,city,Scottsdale; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
47958,city,Tempe; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
4888,city,Gilbert; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
40298,city,Peoria; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
7330,city,Surprise; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
8814,city,Queen Creek; AZ; Phoenix-Mesa-Scottsdale; Pinal County
40326,city,Phoenix; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
10727,city,Casa Grande; AZ; Phoenix-Mesa-Scottsdale; Pinal County
192040,city,Sierra Vista; AZ; Sierra Vista-Douglas; Cochise County
7481,city,Tucson; AZ; Pima County
3869,city,Buckeye; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
30233,city,Apache Junction; AZ; Phoenix-Mesa-Scottsdale; Pinal County
24198,city,Coolidge; AZ; Phoenix-Mesa-Scottsdale; Pinal County
10226,city,Avondale; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
18329,city,Goodyear; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
26620,city,Prescott; AZ; Yavapai County
32697,city,Maricopa; AZ; Phoenix-Mesa-Scottsdale; Pinal County
46105,city,Lake Havasu City; AZ; Lake Havasu City-Kingman; Mohave County
46039,city,Kingman; AZ; Lake Havasu City-Kingman; Mohave County
737787,city,San Tan Valley; AZ; Phoenix-Mesa-Scottsdale; Pinal County
30651,city,Bullhead City; AZ; Lake Havasu City-Kingman; Mohave County
54002,city,Prescott Valley; AZ; Prescott; Yavapai County
56207,city,Marana; AZ; Tucson; Pima County
26329,city,Oro Valley; AZ; Tucson; Pima County
11278,city,El Mirage; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
38541,city,Florence; AZ; Phoenix-Mesa-Scottsdale; Pinal County
54619,city,Sun City West; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
32525,city,Litchfield Park; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
47502,city,Sahuarita; AZ; Tucson; Pima County
43267,city,Somerton; AZ; Yuma; Yuma County
111627,city,Catalina Foothills; AZ; Tucson; Pima County
3418,city,Anthem; AZ; Phoenix-Mesa-Scottsdale; Maricopa County
40026,city,Nogales; AZ; Santa Cruz County
38791,city,Green Valley; AZ; Tucson; Pima County
10965,city,Cottonwood; AZ; Prescott; Yavapai County
