region_id,region_type,region
281,county,Pima County; AZ; Tucson
1139,county,La Paz County; AZ
1634,county,Cochise County; AZ; Sierra Vista-Douglas
3024,county,Santa Cruz County; AZ; Nogales
1253,county,Navajo County; AZ; Show Low
2112,county,Yavapai County; AZ; Prescott
2402,county,Maricopa County; AZ; Phoenix-Mesa-Scottsdale
1210,county,Mohave County; AZ; Lake Havasu City-Kingman
347,county,Yuma County; AZ; Yuma
1047,county,Graham County; AZ; Safford
685,county,Pinal County; AZ; Phoenix-Mesa-Scottsdale
2309,county,Greenlee County; AZ
834,county,Apache County; AZ
164,county,Gila County; AZ; Payson
2207,county,Coconino County; AZ; Flagstaff
