region_id,region_type,region
417895,neigh,The Groves; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
267908,neigh,Camelback East; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
272734,neigh,Alhambra; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
112547,neigh,Paradise Valley; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
267971,neigh,South Mountain; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
275454,neigh,South Scottsdale; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Scottsdale
273652,neigh,Estrella; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
267900,neigh,Ahwatukee Foothills; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
267912,neigh,Central City; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
267926,neigh,Encanto; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
111869,neigh,Drexel Heights; AZ; Tucson; Pima County
113036,neigh,Tanque Verde; AZ; Tucson; Pima County
417579,neigh,Power Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
111617,neigh,Casas Adobes; AZ; Tucson; Pima County
112261,neigh,Laveen; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
112345,neigh,Maryvale; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
111854,neigh,Dobson Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
275040,neigh,Pinnacle Peak; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Scottsdale
417935,neigh,Superstition Springs; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
273229,neigh,Cherry Avenue; AZ; Tucson; Pima County
111818,neigh,Deer Valley; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
273631,neigh,Elvira; AZ; Tucson; Pima County
417851,neigh,Alta Mesa; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
267955,neigh,North Mountain; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
273470,neigh,Dietz; AZ; Tucson; Pima County
417912,neigh,Las Sendas; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
274525,neigh,Garden District; AZ; Tucson; Pima County
267919,neigh,Desert View; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
417630,neigh,Greenfield Acres; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417631,neigh,Greenfield Glen; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
274742,neigh,North Scottsdale; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Scottsdale
762824,neigh,Historic Avondale; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
396576,neigh,Valencia West; AZ; Tucson; Pima County
417734,neigh,Sun Groves; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
273345,neigh,Corbett; AZ; Tucson; Pima County
417542,neigh,Val Vista Lakes; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417576,neigh,San Tan Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417713,neigh,Amberwood North; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417648,neigh,The Islands; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
203441,neigh,Seville; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417715,neigh,Ocotillo; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417946,neigh,Augusta Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
396588,neigh,Flowing Wells; AZ; Tucson; Pima County
208248,neigh,Bella Vista; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
274496,neigh,Menlo Park; AZ; Tucson; Pima County
272768,neigh,Amphi; AZ; Tucson; Pima County
275439,neigh,South Harrison; AZ; Tucson; Pima County
416900,neigh,Broadway Pantano East; AZ; Tucson; Pima County
276357,neigh,Groves Lincoln Park; AZ; Tucson; Pima County
275684,neigh,Terra Del Sol; AZ; Tucson; Pima County
276590,neigh,Stella Mann; AZ; Tucson; Pima County
274249,neigh,Lakeside Park; AZ; Tucson; Pima County
113128,neigh,Tucson Estates; AZ; Tucson; Pima County
274631,neigh,Myers; AZ; Tucson; Pima County
417815,neigh,Mesa Grande; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417700,neigh,Lyon's Gate; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
276401,neigh,Keeling; AZ; Tucson; Pima County
267967,neigh,Sam Hughes; AZ; Tucson; Pima County
112295,neigh,Littletown; AZ; Tucson; Pima County
417728,neigh,The Provinces; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
274158,neigh,Julia Keen; AZ; Tucson; Pima County
762634,neigh,Garden Lakes; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
417885,neigh,Kleinman Park; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
259684,neigh,Rancho Santa Fe; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
417582,neigh,Estates at Specturm; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
112968,neigh,Summer Place Village; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417572,neigh,Spectrum; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
275903,neigh,Wakefield; AZ; Tucson; Pima County
233487,neigh,Galveston; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
762631,neigh,Coldwater Springs; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Avondale
761707,neigh,Bennett Estates; AZ; Flagstaff; Coconino County
761708,neigh,Ponderosa Trails; AZ; Flagstaff; Coconino County
417628,neigh,San Tan Estates; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
417870,neigh,Park of the Canals; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
274667,neigh,Rio Vista; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
