region_id,region_type,region
94940,zip,85364; AZ; Yuma; Yuma County
95042,zip,85704; AZ; Tucson; Pima County
94843,zip,85251; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Scottsdale
95043,zip,85705; AZ; Tucson; Pima County
94949,zip,85375; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Sun City West
95019,zip,85635; AZ; Sierra Vista-Douglas; Cochise County; Sierra Vista
417436,zip,85120; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Apache Junction
95163,zip,86314; AZ; Prescott; Yavapai County; Prescott Valley
95081,zip,85745; AZ; Tucson; Pima County
95066,zip,85730; AZ; Tucson; Pima County
95056,zip,85718; AZ; Tucson; Pima County
95123,zip,86004; AZ; Flagstaff; Coconino County
95120,zip,86001; AZ; Flagstaff; Coconino County
94998,zip,85614; AZ; Tucson; Pima County; Green Valley
95213,zip,86442; AZ; Lake Havasu City-Kingman; Mohave County; Bullhead City
95044,zip,85706; AZ; Tucson; Pima County
95082,zip,85746; AZ; Tucson; Pima County
94943,zip,85367; AZ; Yuma; Yuma County
94859,zip,85268; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Fountain Hills
94925,zip,85349; AZ; Yuma; Yuma County; San Luis
94730,zip,85014; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
94798,zip,85203; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
95193,zip,86406; AZ; Lake Havasu City-Kingman; Mohave County; Lake Havasu City
95079,zip,85743; AZ; Tucson; Pima County
95194,zip,86409; AZ; Lake Havasu City-Kingman; Mohave County; Kingman
94974,zip,85541; AZ; Payson; Gila County
95156,zip,86301; AZ; Prescott; Yavapai County
95170,zip,86326; AZ; Prescott; Yavapai County; Cottonwood
95078,zip,85742; AZ; Tucson; Pima County
95188,zip,86401; AZ; Lake Havasu City-Kingman; Mohave County; Kingman
399731,zip,85756; AZ; Tucson; Pima County
417435,zip,85119; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Apache Junction
95025,zip,85641; AZ; Tucson; Pima County; Vail
95191,zip,86404; AZ; Lake Havasu City-Kingman; Mohave County; Lake Havasu City
95158,zip,86303; AZ; Prescott; Yavapai County
95160,zip,86305; AZ; Prescott; Yavapai County
95190,zip,86403; AZ; Lake Havasu City-Kingman; Mohave County; Lake Havasu City
94947,zip,85373; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Sun City
94842,zip,85250; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Scottsdale
95075,zip,85739; AZ; Tucson; Pima County; Catalina
95084,zip,85748; AZ; Tucson; Pima County
95053,zip,85715; AZ; Tucson; Pima County
95090,zip,85755; AZ; Tucson; Pima County; Oro Valley
94744,zip,85028; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
95094,zip,85901; AZ; Show Low; Navajo County
94747,zip,85031; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
95167,zip,86323; AZ; Prescott; Yavapai County; Chino Valley
94873,zip,85284; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
95085,zip,85749; AZ; Tucson; Pima County
698721,zip,86005; AZ; Flagstaff; Coconino County
94941,zip,85365; AZ; Yuma; Yuma County
417434,zip,85118; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Gold Canyon
94845,zip,85253; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Paradise Valley
94854,zip,85262; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Scottsdale
95005,zip,85621; AZ; Nogales; Santa Cruz County
417443,zip,85139; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Maricopa
95031,zip,85650; AZ; Sierra Vista-Douglas; Cochise County; Sierra Vista
95030,zip,85648; AZ; Nogales; Santa Cruz County; Rio Rico
95033,zip,85653; AZ; Tucson; Pima County; Marana
399662,zip,85658; AZ; Tucson; Pima County; Marana
95198,zip,86426; AZ; Lake Havasu City-Kingman; Mohave County; Mohave Valley
95091,zip,85757; AZ; Tucson; Pima County
94959,zip,85387; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Surprise
94857,zip,85266; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Scottsdale
94992,zip,85607; AZ; Sierra Vista-Douglas; Cochise County; Douglas
95179,zip,86336; AZ; Prescott; Yavapai County; Sedona
95171,zip,86327; AZ; Prescott; Yavapai County; Dewey-Humboldt
94723,zip,85007; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Phoenix
94988,zip,85602; AZ; Sierra Vista-Douglas; Cochise County; Benson
95166,zip,86322; AZ; Prescott; Yavapai County; Camp Verde
94926,zip,85350; AZ; Yuma; Yuma County; Somerton
417438,zip,85128; AZ; Phoenix-Mesa-Scottsdale; Pinal County; Coolidge
